 , PHY101 , S+
VM12310:6  , EE101 , S
VM12310:6  , CS101 , S
VM12310:6  , ME102 , A
VM12310:6  , HSS204 , Pass
VM12310:6  , ME201 , S
VM12310:6  , HSS201 , S
VM12310:6  , CHYL201 , S+
VM12310:6  , AL201 , S+
VM12310:6  , IS33 , S
VM12310:6  , IS34 , S
VM12310:6  , IS35 , S+
VM12310:6  , ISL38 , S+
VM12310:6  , IS41 , S+
VM12310:6  , IS44 , S
VM12310:6  , IS46 , S
VM12310:6  , ISL48 , S+
VM12310:14  , MAT101 , S
VM12310:14  , CV101 , A
VM12310:14  , HSS103 , S
VM12310:14  , PHYL101 , S
VM12310:14  , CSL101 , S+
VM12310:14  , MAT201 , S+
VM12310:14  , CHY201 , S+
VM12310:14  , EC201 , A
VM12310:14  , HSS202 , A
VM12310:14  , MEL203 , S
VM12310:14  , IS32 , A
VM12310:14  , IS31 , S+
VM12310:14  , IS36 , S
VM12310:14  , ISL37 , S+
VM12310:14  , IS42 , S
VM12310:14  , IS43 , A
VM12310:14  , IS45 , S
VM12310:14  , ISL47 , S+
 , PHY101 , E
VM12683:6  , HSS103 , B
VM12683:6  , MAT101 , F
VM12683:6  , ME102 , C
VM12683:6  , HSS204 , Pass
VM12683:6  , ME201 , C
VM12683:6  , HSS201 , A
VM12683:6  , CHYL201 , S
VM12683:6  , AL201 , S+
VM12683:6  , EE101 , B
VM12683:6  , IS33 , C
VM12683:6  , IS34 , C
VM12683:6  , IS35 , B
VM12683:6  , ISL38 , S
VM12683:6  , IS41 , C
VM12683:6  , IS44 , B
VM12683:6  , IS45 , C
VM12683:6  , ISL48 , F
VM12683:6  , ISL48 , C
VM12683:14  , EE101 , F
VM12683:14  , CV101 , E
VM12683:14  , CS101 , D
VM12683:14  , PHYL101 , D
VM12683:14  , CSL101 , A
VM12683:14  , MAT201 , E
VM12683:14  , CHY201 , B
VM12683:14  , EC201 , D
VM12683:14  , HSS202 , A
VM12683:14  , MEL203 , A
VM12683:14  , MAT101 , B
VM12683:14  , IS32 , C
VM12683:14  , IS31 , C
VM12683:14  , IS36 , B
VM12683:14  , ISL37 , F
VM12683:14  , IS42 , C
VM12683:14  , IS46 , C
VM12683:14  , IS43 , B
VM12683:14  , ISL47 , A
VM12683:14  , ISL37 , A
 , PHY101 , S+
VM12740:6  , EE101 , C
VM12740:6  , CS101 , A
VM12740:6  , ME102 , S
VM12740:6  , HSS204 , Pass
